condition,policy,decision,hours,dA_dWt,dA_dX,dA_dP,dA_dViscosity,dA_dtime
nominal,dual,0,0,-0.0016749591580880335,0.0014242426476690352,0.07558440516692577,0.022344537224101024,0.003551541112092328
nominal,dual,1,5,-0.003174504149137846,0.0019032311999141575,0.12947584550926722,0.03395428217330263,0.0049359767292217575
nominal,dual,2,10,-0.006477493904790348,0.002280510519615982,0.22472036462750686,0.04894253832290667,0.006247142691353391
nominal,dual,3,15,-0.013851532034099674,0.002108773230521291,0.3690432140169269,0.05903957358511517,0.006450112524394429
nominal,dual,4,20,-0.02582959830467466,0.0015383045259200344,0.5065683182338294,0.047106910485849834,0.003624955003784155
nominal,dual,5,25,-0.23021051799012018,0.002753762368495891,-11.609390946581584,-3.050119567502686,0.4427806825079535
nominal,dual,6,30,6.551102497698297e-05,-8.685966029764451e-07,5.0301770215810386e-05,-9.295220498028992e-05,-1.498403670308067e-05
nominal,dual,7,35,9.327075223275464e-08,-2.3888391265103316e-10,-3.5922623486950316e-07,-1.6848525907775509e-07,-5.563073612879772e-08
nominal,dual,8,40,3.119726699196687e-12,3.053113317719178e-14,-7.133182933216625e-13,-1.4044321261508218e-12,-1.298960938811432e-12
nominal,dual,9,45,8.504835724565389e-10,1.4380163726457327e-11,4.458444724519946e-09,4.0852043969863437e-10,-2.0695112290525212e-10
nominal,dual,10,50,8.850468750098982e-05,1.859642459467457e-06,0.0006445720552611384,9.81764990748424e-05,-1.1796763857430105e-05
nominal,dual,11,55,0.036705408212273104,0.0006062440424919874,0.18885707415866854,0.004440090976387537,0.0015155968723618005
nominal,dual,12,60,1.5596774313137132,0.014331628953459507,5.815670767348233,-0.525266064492474,0.25356733737355286
nominal,dual,13,65,1.6961067737756543,-0.01305336862056221,6.640561354348003,-0.7457120235425587,0.5803232653291976
nominal,dual,14,70,0.44911532059042797,-0.021804880971137867,2.2564181483133128,0.17262863683860358,0.4216591296473062
nominal,dual,15,75,0.11196915863645729,-0.014684549380704681,0.9037881905083501,0.566334495937633,0.29941480997885034
nominal,dual,16,80,0.08790218263076888,-0.0387225215811984,1.9669323716780045,1.2304774168335555,0.7122211941831006
nominal,dual,17,85,0.11701605744991313,-0.0712236697781906,3.396096845246081,2.0459866586167466,1.3147407908796493
nominal,dual,18,90,0.1480146844125728,-0.08300878680333183,3.8535811554279396,2.1811560578633684,1.568895218739578
nominal,dual,19,95,0.1051964326472531,-0.04985987988407599,2.3112637047961493,1.19808792709875,0.977565576288814
nominal,dual,20,100,0.05168044258857802,-0.015945481114165702,0.7306360836742625,0.3304284329440657,0.32314190601912823
nominal,dual,21,105,0.08428982652874666,-0.00788734765919396,0.28159357616177855,0.07716682487405312,0.13997480792329595
nominal,dual,22,110,0.020536772086127125,-0.0015846188208545873,0.05413143014222072,0.010019497710853092,0.030767662930542
nominal,dual,23,115,0.0050751708368323946,-0.0003207045050385157,0.009557939478557756,0.000395642842143662,0.006993889290710098
nominal,dual,24,120,0.001593015857670464,-8.23518306908299e-05,0.001677843576305958,-0.000663214750851182,0.0020808106997199922
nominal,dual,25,125,0.0007494632298127295,-3.119904726789355e-05,5.4048128506067835e-05,-0.0008816545859546829,0.0009756630378748852
nominal,dual,26,130,0.0007288572212882365,-2.0364088140767383e-05,-0.0008911999290983622,-0.0016468141167597092,0.000856984851321796
nominal,dual,27,135,0.010266442410297718,-0.00013081123319269572,-0.010347697953430593,-0.014439340644312178,0.004242936787657305
nominal,dual,28,140,0.011979802236986015,-6.732270264042656e-05,-0.022847790421193205,-0.02688038325162623,0.003681654717307971
nominal,dual,29,145,0.016974185235343872,6.008183968952968e-05,-0.05664131826187408,-0.06177981498869392,0.0022289784432028
nominal,dual,30,150,0.031151105554436093,0.00043482072613065765,-0.1581271317466769,-0.16427363266314507,-0.005313348454724638
nominal,dual,31,155,0.4742056829428516,0.0019387448944002666,-1.4426056686890552,-1.3417032949302954,-0.07772112996926865
nominal,dual,32,160,0.6215309763653082,0.008429506531670843,-3.0313234774954707,-2.5789370148335964,-0.23977158532432186
nominal,dual,33,165,0.20153787535344397,0.002223729313235998,-1.1139543757212091,-1.0056209172910389,-0.18926074868718373
nominal,dual,34,170,0.037397981289113945,-0.0003100790563648201,-0.265347493483861,-0.21614251198789358,-0.0748230996945514
nominal,dual,35,175,0.24086222927698053,-0.003572506300092423,-0.7736679166735726,-0.6008125378604238,-0.23078842796289115
nominal,dual,36,180,0.24572240033338388,-0.004407491100424927,-1.0947681321017106,-0.8206941769529384,-0.3611361128452225
nominal,dual,37,185,0.23990125954138886,-0.005746378382501244,-1.5650228692676724,-1.1450998119098699,-0.5606198094419697
nominal,dual,38,190,0.25174804171640397,-0.008478508953604906,-2.2080138172937698,-1.5838726951729118,-0.8412002879131262
nominal,dual,39,195,0.7632592613647342,-0.020790323819228056,-3.1105768643753864,-2.1727470762051877,-1.1871869132211377
nominal,dual,40,200,0.6193661343284579,-0.02140290994267489,-3.362740610167217,-2.3153345392474334,-1.3531698218023485
nominal,dual,41,205,0.4239852283290903,-0.02801098273647049,-3.2777957332275007,-2.126164831423772,-1.496119569414313
nominal,dual,42,210,0.29581045401070843,-0.03676419546300987,-3.1871724560430468,-1.9328820534927968,-1.6315965188368737
nominal,dual,43,215,0.6748887602187442,-0.05396897152184494,-3.1069757551637074,-1.7208338886861632,-1.6843470143264634
nominal,dual,44,220,0.4695665479917367,-0.06312920993424281,-3.000844054825555,-1.526242547445161,-1.8195812609919715
nominal,dual,45,225,0.2740619720625418,-0.07275901364374997,-2.8492159230636696,-1.3215857306814958,-1.9294053786918297
nominal,time,0,0,-0.07562865850073493,0.37739891270020315,0.015676506526619477,-0.1280926190210218,-0.35690709130393244
nominal,time,1,5,0.41018653916102576,1.853468390558512,0.6152802990485673,0.03558069686644263,0.4574126729763549
nominal,time,2,10,0.5092420558526207,0.6958452874637506,0.4432117656931241,0.2137775286607078,1.0565753697275684
nominal,time,3,15,2.530624628738207e-05,2.366638809925268e-06,1.1861938237212034e-05,4.587518684373566e-06,6.033148043926845e-05
nominal,time,4,20,5.764166061128501e-07,-4.979302331564735e-07,2.790857545065248e-07,-5.0894197189954536e-08,7.743273022775548e-07
nominal,time,5,25,0.6779749986376782,-1.647482473862237,-1.1638487596517466,-0.29620389112736095,0.2394483752403196
nominal,time,6,30,2.047359301310549,-0.769997733034092,-1.7385939740166514,-1.1864550132475036,-0.17190709774496643
nominal,time,7,35,1.5564642310151742,2.523071182064658,-0.9083802523941716,-1.5763744570246943,-0.8096542018026578
nominal,time,8,40,1.1903307192633013,3.7113683392565857,-0.40552296493714635,-1.6247532642374594,-1.1465362325844848
nominal,time,9,45,0.8115566293695926,3.3568231175351486,0.24216444273761745,-1.1866754214314648,-0.9056279746678823
nominal,time,10,50,0.3197860990412179,1.6887735722252548,0.8656388058711557,-0.6034001887603336,-0.5549407239118727
nominal,time,11,55,0.08122006192588242,-1.4113149112193206,1.2550565874493174,-0.9897447762748706,-0.25334636854930764
nominal,time,12,60,0.03245791984266693,-3.3880632423007566,1.6163298838750877,-1.0666060743454773,0.21455292159397366
nominal,time,13,65,-0.20078396278220617,-5.060502957723542,1.9787544370946968,-0.8437313545386312,0.4550318169743345
nominal,time,14,70,-0.4109884908395444,-6.74495377826866,2.314475561257657,-0.6717428574059975,0.6546049520788662
nominal,time,15,75,-0.38445005284655653,-7.118596781441885,2.3543734885687364,-0.4788295827626843,0.966782495757045
nominal,time,16,80,-0.3272511061086736,-6.5080648375128805,2.770619708382917,-0.507416137631066,1.3247354334956654
nominal,time,17,85,-0.25424502090137224,-5.286225217940674,2.8847332646676147,-0.4967590080811077,1.3836676986792429
nominal,time,18,90,-0.23088252050510163,-3.9052848577650368,2.742714840442755,-0.5349350412077328,1.0283165734728725
nominal,time,19,95,-0.20841491077420707,-2.702968845805975,2.4431172797290364,-0.5491068408541843,0.5455670669007792
nominal,time,20,100,-0.13028995850422181,-1.7847736859708445,2.1530646908669495,-0.4486095215910115,0.30525764576070374
nominal,time,21,105,0.1472855972157043,-0.9032467582997977,1.920376017393005,-0.249710878607863,0.491872382743659
nominal,time,22,110,0.06372437470497921,-0.15735618172464091,1.8911861259058247,0.10238874054092217,1.0311523636926485
nominal,time,23,115,-0.08470888109697171,0.31534497617424606,1.9860226815935393,0.3060662230903525,1.149256563862916
nominal,time,24,120,-0.2888357606609393,0.49152239625402755,2.0340645730505114,0.2655993600723771,0.6121094966572828
nominal,time,25,125,-0.5090874905914695,0.4533171804640214,1.9838669233360233,0.12799512168026603,-0.17803966080737474
nominal,time,26,130,-0.7130030504101347,0.3794559603776251,1.8493276213303265,0.1745670330922627,-0.33235064885988047
nominal,time,27,135,-0.4297310632365405,0.6382178490312607,1.647522725317528,0.9831675476256516,2.109012850419063
nominal,time,28,140,-0.713398277948598,0.3272526999023054,1.1037155932782918,1.6909741634977136,3.538342607383362
nominal,time,29,145,-0.28837513129565645,0.07880177982834684,0.2646637762872437,0.5665841852706941,1.195049126484332
nominal,time,30,150,-0.013483590135165967,0.00330889708462789,0.009744460383179212,0.02359567442808409,0.05208690360948005
nominal,time,31,155,-3.104397294784175e-09,3.294720052338104e-09,9.551717750078118e-09,2.9160068804046064e-08,1.1272587030486381e-07
nominal,time,32,160,-2.775557561562889e-15,0.0,5.551115123125778e-15,1.3877787807814444e-14,4.163336342344333e-14
nominal,time,33,165,-6.922601381020848e-10,2.1486978862839105e-10,4.101941009082562e-10,2.264213816438598e-09,4.398564845686788e-10
nominal,time,34,170,-0.00010285840517376678,3.0212721435773888e-05,4.377387664011852e-05,0.00024209662827789924,-4.429576075382076e-05
nominal,time,35,175,-1.4353531779809346e-06,1.4086521143985552e-06,1.7408130631446624e-06,1.2901887755378823e-05,-7.98267529578122e-06
nominal,time,36,180,-6.66691139294961e-05,3.9597313564176916e-05,4.098736974267322e-05,0.000284711416423389,-0.0004121555337882606
nominal,time,37,185,-0.004296851861299019,0.001866848487183657,0.0016431788410820032,0.010896626782330726,-0.022697044403011103
nominal,time,38,190,-0.08110612695136625,0.03088806274230413,0.024552831543991883,0.16227106630867247,-0.32969155527457744
nominal,time,39,195,-0.022341655769919623,0.05438781120904174,0.04964876708564987,0.28712886033167867,-0.3639833692651442
nominal,time,40,200,-0.054551242656700145,0.052752721770521434,0.08727399529576121,0.2895920682675914,0.22801959199897062
nominal,time,41,205,-0.032016516077879004,0.013511291418455406,0.03501287068756462,0.08804692573570198,0.3383001447960385
nominal,time,42,210,-0.002377031577094344,0.0007414838263580796,0.001969901511597592,0.005326897694549196,0.032069200010870186
nominal,time,43,215,1.219768583360369e-06,2.9327116013444484e-06,7.144852420815078e-06,2.5181513738092857e-05,0.00018369550468244606
nominal,time,44,220,-3.195534947764142e-08,3.270572146440995e-08,7.239318311480496e-08,3.619095828577556e-07,1.5476024323168845e-06
nominal,time,45,225,-1.2113504643806993e-08,5.486180953973014e-09,1.1130535382264374e-08,7.524491862920256e-08,9.892865693306154e-08
delayed (80h starve),dual,0,0,-0.0016749591580880335,0.0014242426476690352,0.07558440516692577,0.022344537224101024,0.003551541112092328
delayed (80h starve),dual,1,5,-0.0031227818008406744,0.0019050663021170143,0.12959788059481375,0.033986897653246244,0.004940629160138546
delayed (80h starve),dual,2,10,-0.006269349425955614,0.002287215269471165,0.2252537607785129,0.04906567718730159,0.006261972024336195
delayed (80h starve),dual,3,15,-0.012350069707166799,0.002333123068476524,0.37006551092969403,0.05952802751659248,0.006467983779360461
delayed (80h starve),dual,4,20,-0.020856678842575364,0.0020860298525681737,0.5181933850409925,0.05077760262379625,0.003708175770118779
delayed (80h starve),dual,5,25,-0.2928636563402917,0.011988720456709834,-0.9676419140414857,0.14637757961431505,-0.01479200980203653
delayed (80h starve),dual,6,30,1.968529787788052e-05,-1.6221754772782745e-06,-5.2822968515942023e-05,-8.49112219009073e-05,3.139163187726443e-06
delayed (80h starve),dual,7,35,4.564127986661499e-06,-1.9012409424590244e-07,-4.71223090547923e-06,-9.07008012862586e-06,-1.8473904905835764e-06
delayed (80h starve),dual,8,40,2.7627899967796995e-11,-7.188694084447883e-13,-2.2184198922303732e-10,-5.104527911470309e-11,-2.0347612483817537e-11
delayed (80h starve),dual,9,45,4.9960036108132e-14,0.0,6.106226635438356e-14,8.326672684688672e-15,-1.9428902930940224e-14
delayed (80h starve),dual,10,50,4.882871884603897e-10,3.819167204710535e-12,5.897179966574124e-09,6.673134267387585e-10,-8.443246102274308e-11
delayed (80h starve),dual,11,55,7.2463217121176965e-06,6.364788696089358e-08,7.861829133537494e-05,-1.8837011089845018e-06,6.022251697324061e-07
delayed (80h starve),dual,12,60,0.05450973443488774,0.0004123234116942816,0.28858776236488887,-0.049703001328446586,0.011145112324692497
delayed (80h starve),dual,13,65,1.7362001042224624,0.003412085746579138,6.552917491629592,-2.147547296448705,0.522532913715112
delayed (80h starve),dual,14,70,0.9601441121393786,-0.012902018133324743,3.204940535687517,-1.2192939920535282,0.4659503223643068
delayed (80h starve),dual,15,75,0.26712135493860156,-0.004544109239366062,0.1259160409548573,0.24992231950127122,0.19531371083818666
delayed (80h starve),dual,16,80,0.20628042844220407,-0.009546137551539888,0.6125875895215405,0.4052001032199644,0.24072659510760663
delayed (80h starve),dual,17,85,0.1874688326057466,-0.023717520528305343,1.3970045706306249,0.8213421817607671,0.43345062084356306
delayed (80h starve),dual,18,90,0.2336789309607527,-0.049964077972341994,2.6983456363921214,1.559732129230102,0.8396734884876617
delayed (80h starve),dual,19,95,0.31986547214260386,-0.07929288949987671,4.047382224022617,2.251708294517719,1.306942990553584
